dateOfSleep,duration,efficiency,endTime,infoCode,isMainSleep,logId,minutesAfterWakeup,minutesAsleep,minutesAwake,minutesToFallAsleep,startTime,timeInBed,totalMinutesAsleep,totalTimeInBed,deep,light,rem,wake
2017-06-29,25020000,94,2017-06-29T05:05:00.000,0,True,15086297935,5,379,38,0,2017-06-28T22:07:30.000,417,379,417,37,256,86,38
2017-06-30,34980000,95,2017-06-30T08:25:00.000,0,True,15096929114,4,526,57,0,2017-06-29T22:41:30.000,583,526,583,71,322,133,57
2017-07-01,31920000,96,2017-07-01T08:35:30.000,0,True,15105360286,4,484,48,0,2017-06-30T23:43:00.000,532,484,532,26,323,135,48
2017-07-02,37680000,93,2017-07-02T08:24:00.000,0,True,15113813657,0,520,108,0,2017-07-01T21:55:30.000,628,520,628,34,389,97,108
2017-07-03,25980000,96,2017-07-03T05:06:30.000,0,True,15121144260,0,389,44,0,2017-07-02T21:53:30.000,433,389,433,47,280,62,44
2017-07-04,35280000,92,2017-07-04T07:37:30.000,0,True,15128861715,0,513,75,0,2017-07-03T21:49:00.000,588,513,588,39,386,88,75
2017-07-05,40740000,92,2017-07-05T08:45:30.000,0,True,15141366709,0,599,80,0,2017-07-04T21:26:00.000,679,599,679,50,455,94,80
2017-07-06,19800000,96,2017-07-06T05:02:00.000,0,True,15149107703,0,291,39,0,2017-07-05T23:32:00.000,330,291,330,25,235,31,39
2017-07-07,25920000,91,2017-07-07T05:05:30.000,0,True,15157623337,0,387,45,0,2017-07-06T21:53:30.000,432,387,432,27,278,82,45
2017-07-08,31740000,94,2017-07-08T07:52:00.000,0,True,15167646567,1,471,58,0,2017-07-07T23:03:00.000,529,471,529,42,324,105,58
2017-07-09,31320000,94,2017-07-09T06:42:30.000,0,True,15175351821,1,466,56,0,2017-07-08T22:00:00.000,522,466,522,48,316,102,56
2017-07-10,22380000,91,2017-07-10T03:04:30.000,0,True,15182986437,4,326,47,0,2017-07-09T20:51:00.000,373,326,373,13,259,54,47
2017-07-11,36540000,92,2017-07-11T06:26:30.000,0,True,15196507628,0,544,65,0,2017-07-10T20:17:30.000,609,544,609,31,376,137,65
2017-07-12,30660000,94,2017-07-12T06:15:30.000,0,True,15205626727,2,441,70,0,2017-07-11T21:44:00.000,511,441,511,9,328,104,70
2017-07-13,32220000,91,2017-07-13T07:15:00.000,0,True,15215182643,0,451,86,0,2017-07-12T22:18:00.000,537,532,628,38,313,100,86
2017-07-14,27840000,92,2017-07-14T07:27:30.000,0,True,15225363126,0,411,53,0,2017-07-13T23:43:30.000,464,411,464,50,283,78,53
2017-07-15,22440000,92,2017-07-15T07:07:30.000,0,True,15233755663,6,318,56,0,2017-07-15T00:53:30.000,374,318,374,47,190,81,56
2017-07-16,31260000,91,2017-07-16T07:28:30.000,0,True,15242227390,1,473,48,0,2017-07-15T22:47:00.000,521,538,587,36,326,111,48
2017-07-17,29580000,92,2017-07-17T07:01:30.000,0,True,15251616274,3,425,68,0,2017-07-16T22:48:00.000,493,425,493,37,280,108,68
2017-07-18,25560000,93,2017-07-18T04:52:00.000,0,True,15258332924,0,379,47,0,2017-07-17T21:45:30.000,426,379,426,30,277,72,47
2017-07-19,33660000,91,2017-07-19T08:16:30.000,0,True,15273588840,0,492,69,0,2017-07-18T22:55:30.000,561,492,561,35,338,119,69
2017-07-20,32820000,87,2017-07-20T07:57:30.000,0,True,15277633334,0,468,79,0,2017-07-19T22:50:00.000,547,468,547,35,370,63,79
2017-07-21,31080000,94,2017-07-21T07:33:30.000,0,True,15290115897,0,460,58,0,2017-07-20T22:55:30.000,518,460,518,52,320,88,58
2017-07-22,19440000,95,2017-07-22T09:44:00.000,0,True,15298475401,3,285,39,0,2017-07-22T04:20:00.000,324,341,387,57,157,71,39
2017-07-23,38220000,95,2017-07-23T09:20:00.000,0,True,15302011348,6,547,90,0,2017-07-22T22:42:30.000,637,547,637,38,362,147,90
2017-07-24,20400000,89,2017-07-24T04:58:30.000,0,True,15311695797,0,279,61,0,2017-07-23T23:18:00.000,340,279,340,23,206,50,61
2017-07-25,27240000,94,2017-07-25T05:13:30.000,0,True,15323754955,0,402,52,0,2017-07-24T21:39:00.000,454,402,454,10,288,104,52
2017-07-26,24120000,95,2017-07-26T05:00:00.000,0,True,15333086460,0,378,24,0,2017-07-25T22:18:00.000,402,378,402,76,206,96,24
2017-07-27,27360000,96,2017-07-27T05:03:30.000,0,True,15340203062,1,394,62,0,2017-07-26T21:27:30.000,456,394,456,10,269,115,62
2017-07-28,25860000,92,2017-07-28T05:11:30.000,0,True,15349766598,0,382,49,0,2017-07-27T22:00:00.000,431,382,431,33,266,83,49
2017-07-29,31080000,95,2017-07-29T07:31:30.000,0,True,15361926434,1,462,56,0,2017-07-28T22:53:30.000,518,462,518,62,308,92,56
2017-07-30,29340000,92,2017-07-30T05:19:30.000,0,True,15368639696,0,439,50,0,2017-07-29T21:10:30.000,489,439,489,54,297,88,50
2017-07-31,27840000,97,2017-07-31T05:03:30.000,0,True,15378466947,1,413,51,0,2017-07-30T21:19:00.000,464,413,464,68,259,86,51
2017-08-01,25500000,91,2017-08-01T05:08:30.000,0,True,15390079127,2,376,49,0,2017-07-31T22:03:30.000,425,376,425,26,260,90,49
2017-08-02,28380000,94,2017-08-02T05:16:30.000,0,True,15399445232,0,435,38,0,2017-08-01T21:23:30.000,473,435,473,18,311,106,38
2017-08-03,28740000,95,2017-08-03T05:08:30.000,0,True,15408628389,0,439,40,0,2017-08-02T21:09:00.000,479,439,479,25,298,116,40
2017-08-04,28620000,91,2017-08-04T05:05:30.000,0,True,15416890730,0,431,46,0,2017-08-03T21:08:00.000,477,431,477,70,263,98,46
2017-08-05,27540000,95,2017-08-05T05:13:30.000,0,True,15425117803,0,406,53,0,2017-08-04T21:34:00.000,459,406,459,40,284,82,53
2017-08-06,31740000,96,2017-08-06T06:00:00.000,0,True,15434290964,0,475,54,0,2017-08-05T21:11:00.000,529,475,529,30,351,94,54
2017-08-07,35220000,92,2017-08-07T04:59:00.000,0,True,15439699960,0,473,114,0,2017-08-06T19:12:00.000,587,473,587,34,338,101,114
2017-08-08,30060000,93,2017-08-08T05:27:30.000,0,True,15453742733,12,455,46,0,2017-08-07T21:06:00.000,501,455,501,73,293,89,46
2017-08-09,27240000,94,2017-08-09T05:06:30.000,0,True,15463061470,5,410,44,0,2017-08-08T21:32:30.000,454,410,454,22,304,84,44
2017-08-10,24900000,96,2017-08-10T05:04:30.000,0,True,15471541286,0,354,61,0,2017-08-09T22:09:30.000,415,354,415,74,220,60,61
2017-08-11,27420000,96,2017-08-11T04:50:30.000,0,True,15479872973,0,401,56,0,2017-08-10T21:13:30.000,457,401,457,48,277,76,56
2017-08-12,29640000,98,2017-08-12T07:41:30.000,0,True,15490173251,0,454,40,0,2017-08-11T23:27:00.000,494,454,494,46,293,115,40
2017-08-13,35160000,96,2017-08-13T06:04:30.000,0,True,15497309720,0,508,78,0,2017-08-12T20:18:00.000,586,508,586,48,354,106,78
2017-08-14,31260000,94,2017-08-14T05:06:30.000,0,True,15506235064,5,478,43,0,2017-08-13T20:25:30.000,521,478,521,47,324,107,43
2017-08-15,29340000,94,2017-08-15T05:04:30.000,0,True,15515419102,0,441,48,0,2017-08-14T20:55:30.000,489,441,489,65,281,95,48
2017-08-16,29220000,96,2017-08-16T05:06:30.000,0,True,15525171870,6,441,46,0,2017-08-15T20:59:00.000,487,441,487,78,246,117,46
2017-08-17,23460000,96,2017-08-17T05:07:30.000,0,True,15533604306,0,338,53,0,2017-08-16T22:36:00.000,391,338,391,43,245,50,53
2017-08-19,31020000,95,2017-08-19T06:05:30.000,0,True,15547210099,0,456,61,0,2017-08-18T21:28:30.000,517,456,517,70,280,106,61
2017-08-20,31260000,96,2017-08-20T06:04:30.000,0,True,15556038427,4,464,57,0,2017-08-19T21:23:00.000,521,464,521,45,298,121,57
2017-08-21,27240000,95,2017-08-21T05:07:30.000,0,True,15568020398,0,420,34,0,2017-08-20T21:33:00.000,454,420,454,61,271,88,34
2017-08-22,27780000,96,2017-08-22T05:06:30.000,0,True,15577168834,0,409,54,0,2017-08-21T21:23:00.000,463,409,463,48,310,51,54
2017-08-23,25260000,97,2017-08-23T05:05:30.000,0,True,15586090985,0,383,38,0,2017-08-22T22:04:30.000,421,383,421,39,263,81,38
2017-08-24,29880000,95,2017-08-24T05:15:30.000,0,True,15596068954,0,454,44,0,2017-08-23T20:57:00.000,498,454,498,32,318,104,44
2017-08-25,26340000,97,2017-08-25T05:32:30.000,0,True,15605218387,0,391,48,0,2017-08-24T22:13:00.000,439,391,439,22,296,73,48
